row_id,publishers
31260,Hobby World
31260,HomoLudicus
31260,Korea Boardgames
31260,Lacerta
31260,MINDOK
31260,Smart Ltd
31260,Stratelibri
31260,"Swan Panasia Co., Ltd."
31260,Ystari Games
31260,Z-Man Games
170216,Cool Mini Or Not
170216,Arclight Games
170216,asmodee
170216,Asterion Press
170216,BoardM Factory
170216,CMON Global Limited
170216,CrowD Games
170216,Delta Vision Publishing
170216,Edge Entertainment
170216,Fantasmagoria
170216,Galápagos Jogos
170216,Game Harbor
170216,Geekach LLC
170216,Guillotine Games
170216,MIPL
170216,Portal Games
170216,Rexhry
231733,Kayenta Games
231733,4GAMES
231733,Boardgame Mall
231733,CMON Global Limited
231733,Giochix.it
231733,Lucrum Games
231733,Maldito Games
231733,Strohmann Games
231733,Super Meeple
231733,TTGames CZ
240980,The Pandemonium Institute
240980,A-Z kiadó
240980,Bumble3ee Interactive
240980,Fox in the Box
240980,Funtails
240980,MTS Games
240980,Old Dawg
240980,Open Sesame Games
240980,Tabletop KZ
182874,Lookout Games
182874,Cranio Creations
182874,CrowD Games
182874,Engames
182874,Funforge
182874,Game Harbor
182874,Korea Boardgames
182874,Lacerta
182874,Lord of Boards
182874,Maldito Games
182874,Mandoo Games
182874,Mayfair Games
182874,PaperGames (III)
182874,SD Games
161533,Eagle-Gryphon Games
161533,Angry Lion Games
161533,Delta Vision Publishing
161533,Giochix.it
161533,hobbity.eu
161533,Lavka Games
161533,Maldito Games
161533,Mandala Jogos
161533,TLAMA games
161533,YOKA Games
221107,Z-Man Games
221107,asmodee
221107,Devir
221107,GémKlub Kft.
221107,Hobby Japan
221107,Korea Boardgames
221107,Lacerta
221107,Lifestyle Boardgames Ltd
255984,Red Raven Games
255984,Banana Games
255984,Conclave Editora
255984,DV Games
255984,Games7Days
255984,Keep Exploring Games
255984,Lavka Games
255984,Lotus Frog Games
255984,Lucky Duck Games
255984,Maldito Games
255984,Reflexshop
255984,Rexhry
255984,リゴレ (rigoler)
255984,Schwerkraft-Verlag
371942,Devir
371942,999 Games
371942,Banana Games
371942,CMON Global Limited
371942,GaGa Games
371942,Games4you
371942,Games7Days
371942,IELLO
371942,KOSMOS
371942,Lautapelit.fi
371942,Portal Games
371942,Reflexshop
371942,TLAMA games
126163,Czech Games Edition (CGE)
126163,Cranio Creations
126163,Devir
126163,DiceTree Games
126163,Feelindigo
126163,GaGa Games
126163,The Game Master BV
126163,Heidelberger Spieleverlag
126163,Hobby Japan
126163,IELLO
126163,Lex Games
126163,MINDOK
126163,"More Fun Co., Ltd."
126163,One Moment Games
126163,Rebel Sp. z o.o.
126163,Rio Grande Games
126163,Zacatrus
2651,2F-Spiele
2651,2Tomatoes Games
2651,999 Games
2651,Albi
2651,Arclight Games
2651,Brain Games
2651,Edge Entertainment
2651,Galápagos Jogos
2651,GémKlub Kft.
2651,Giochi Uniti
2651,Hobby World
2651,Ideal Board Games
2651,Kaissa Chess & Games
2651,Korea Boardgames
2651,Lacerta
2651,Laguna
2651,Lautapelit.fi
2651,Matagot
2651,Rio Grande Games
2651,Rozum
2651,Runadrake
2651,Siam Board Games
2651,Smart Ltd
2651,Stratelibri
2651,"Swan Panasia Co., Ltd."
216132,Karma Games
216132,BoardM Factory
216132,CrowD Games
216132,Czacha Games
216132,Gen-X Games
216132,MeepleBR
216132,"MYBG Co., Ltd."
216132,Pixie Games
216132,Red Glove
216132,テンデイズゲームズ (TendaysGames)
216132,TLAMA games
205059,Fantasy Flight Games
205059,ADC Blackfire Entertainment
205059,Arclight Games
205059,Asterion Press
205059,Edge Entertainment
205059,Galakta
205059,Galápagos Jogos
205059,Geekach LLC
205059,Heidelberger Spieleverlag
205059,Hobby World
205059,Korea Boardgames
205059,Meanbook Games
205059,Siam Board Games
380607,eggertspiele
380607,Arclight Games
380607,Delta Vision Publishing
380607,Ediciones MasQueOca
380607,Galápagos Jogos
380607,Ghenos Games
380607,Rebel Sp. z o.o.
380607,Yayoi The Dreamer
380607,Zvezda
244521,CMYK
244521,Schmidt Spiele
244521,999 Games
244521,Arclight Games
244521,Brain Games
244521,Compaya.hu: Gamer Café Kft.
244521,Devir
244521,G3
244521,Games4you
244521,HaKubia
244521,Kaissa Chess & Games
244521,Korea Boardgames
244521,Lautapelit.fi
244521,Lavka Games
244521,Meeple
244521,MINDOK
244521,"North Star Games, LLC"
244521,"Swan Panasia Co., Ltd."
244521,YellowBOX
266810,Garphill Games
266810,Renegade Game Studios
266810,Banana Games
266810,CMON Global Limited
266810,Fever Games
266810,Korea Boardgames
266810,Lavka Games
266810,Lord of Boards
266810,Meeple
266810,MeepleBR
266810,Pixie Games
266810,Portal Games
266810,Primigenio
266810,Reflexshop
266810,Schwerkraft-Verlag
266810,TLAMA games
266810,White Goblin Games
266810,株式会社ケンビル (KenBill)
367966,Burnt Island Games
367966,Grand Gamers Guild
367966,Arclight Games
367966,Board Game Circus
367966,Cranio Creations
367966,CrowD Games
367966,DSV Games
367966,Frosted Games
367966,Geekach LLC
367966,Ludofun
367966,Maldito Games
367966,Rawstone
367966,Super Meeple
367966,TLAMA games
35677,Lookout Games
35677,999 Games
35677,asmodee
35677,CrowD Games
35677,Filosofia Éditions
35677,GoKids 玩樂小子
35677,Hobby Japan
35677,HomoLudicus
35677,Korea Boardgames
35677,Lacerta
35677,Ludofy Creative
35677,Maldito Games
35677,Mayfair Games
35677,MINDOK
35677,Stratelibri
35677,uplay.it edizioni
