row_id,designers
232414,Dominic Crapuchettes
232414,Ben Goldman
232414,Brian O'Neill
387866,Jim Cartwright
387866,Tyler Parrott
387866,Daniel Schaefer
387866,Jeremy Zwirn
84419,Jim Krohn
142379,Vital Lacerda
197376,Jamey Stegmaier
9674,Reiner Knizia
424219,Grégory Grard
424219,Mathieu Roussel
144797,Trey Chambers
425549,Donald X. Vaccarino
177639,Bruno Cathala
177639,Bruno Faidutti
218074,Evan Derrick
415776,Jonathan Fryxelius
153938,Steffen Bogen
28023,Malcolm Braff
28023,Bruno Cathala
28023,Sébastien Pauchon
252328,Jay Little
252328,Max Brooke
252328,Frank Brooks
196326,Seiji Kanai
196326,John Zinser
62227,Volko Ruhnke
97786,Philippe Keyaerts
31999,Kris Burm
91312,Martin Wallace
31730,John Bohrer
18,Richard Garfield
18,Paul Sottosanti
280794,Michał Oracz
128996,Beau Beckett
128996,Jeph Stahl
146791,Jason C. Hill
245961,Ben Pinchback
245961,Matt Riddle
133473,Phil Walker-Harding
170624,Seth Jaffee
262215,Alexander Pfister
296237,Scott Almes
181530,Lukas Litzsinger
17405,Thomas Lehmann
125618,Paolo Mori
171668,Fabien Riffaud
171668,Juan Rodriguez
170561,Isaias Vallejo
183251,Rüdiger Dorn
341945,Michael Keller (II)
341945,Andreas Odendahl
341945,Tony Boydell
341945,Stefan Feld
341945,Kevin Hendranata
341945,Błażej Kubacki
341945,Adam Kwapiński
341945,Andrei Novac
119506,Brian Mayer
97842,Vladimír Suchý
346965,Michael Kiesling
172308,Andreas Pelikan
172308,Alexander Pfister
307305,Joshua Van Laningham
163968,Matthew Dunstan
163968,Brett J. Gilbert
432,Wolfgang Kramer
90419,Alan R. Moon
264055,Antoine Bauza
264055,Corentin Lebrat
264055,Ludovic Maublanc
264055,Théo Rivière
127398,Michael Menzel
284777,Rob Daviau
284777,Justin D. Jacobson
147949,Ted Alspach
147949,Akihisa Okui
206941,Helmut Ohley
2346,Kris Burm
248490,Galen Ciscell
248490,Brent Dickman
221965,Joshua Buergel
15985,Jervis Johnson
27173,Michael Kiesling
362944,Ian Brody
102652,Christopher Badell
102652,Paul Bender
102652,Adam Rebottaro
133848,Jamey Stegmaier
133848,Alan Stone
256999,Konstantinos Kokkinis
256999,Marco Portugal
256999,Sotirios Tsantilas
4390,Klaus-Jürgen Wrede
4390,Bernd Brunnhofer
65781,Martin Wallace
380619,Bruno Cathala
380619,Ludovic Maublanc
328866,T. C. Petty III
475,Reiner Knizia
22827,Corey Konieczka
22827,Christian T. Petersen
15363,Charlie Catino
15363,Steven Kimball
213460,Alice Carroll
213460,Thomas Cauët
213460,Cyril Demaegd
265402,Jay Cormier
265402,Graeme Jahns
304051,Roberta Taylor
346501,Reiner Knizia
34119,Anthony J. Gallela
34119,Eric Goldberg
34119,Kevin Maroney
34119,Zev Shlasinger
105551,Christophe Boelinger
95527,Nuno Bizarro Sentieiro
95527,Paulo Soledade
151022,Mike Fitzgerald
699,Stephen Baker
232043,Bruno Cathala
347703,Gabriele Ausiello
347703,Virginio Gigli
281655,Phil Eklund
281655,Justin Grey
281655,Jon Manker
281655,Dom Rougier
237179,Vital Lacerda
27746,Wolfgang Kramer
27746,Markus Lübke
216734,Nate Chatellier
216734,Manny Trembley
133038,Mike Selinker
133038,Chad Brown
133038,Tanis O'Connor
133038,Paul Peterson
133038,Gaby Weidling
345868,Dimitri Perrier
345868,Matthieu Verdier
131357,Rikki Tahta
42215,Bruce Allen
36553,Michael Adams
36553,Peter Sarrett
193949,Aaron Dill
193949,John Kovaleski
193949,Sean Sweigart
46,Reiner Knizia
130960,Craig Besinque
354570,Trevor Benjamin
354570,David Thompson (I)
266121,Mathieu Casnin
266121,Thomas Cauët
266121,Cyril Demaegd
266121,Vincent Goyat
266121,Dave Neale
337765,Peer Sylvester
42052,Vital Lacerda
269511,Andreas Odendahl
244115,Gary Arant
244115,Justin Gary
363247,Michael Kiesling
23540,Yasutaka Ikeda
355483,Michael Kiesling
355483,Wolfgang Kramer
159508,Stefan Feld
128780,Matt Eklund
128780,Phil Eklund
128780,Jim Gutt
5782,Michael Schacht
369880,Scott Almes
