bgg_id,best,recommended,not_recommended
297129,2,2,1
56692,4,3,1
160499,4,3,2
275467,6,4,1
422674,2,4,4+
30645,5,4,2
267319,3,2,1
227460,2,1,2+
196526,1,1+,1+
420498,1,2,2+
2093,4,3,1
179275,1,2,2+
219215,6,5,1
192457,4,3,1
122298,2,1,1
197443,2,2,1
12002,2,2,1
284818,4,3,1
317457,3,2,4+
216459,1,2,5+
176165,2,4,1
218479,2,3,4+
1035,2,1,2+
91872,3,2,5+
230244,3,2,4+
156566,4,3,1
65244,4,2,4+
245643,3,2,1
137988,3,4,6+
191051,4,2,4+
36235,2,1,1
228867,2,1,6+
395375,4,2,1
239307,2,1,6+
234671,3,2,5+
252153,3,4,4+
110277,4,3,1
268201,2,4,5
420805,3,2,4+
528,2,1,2+
228328,4,2,4+
163602,4,3,4+
296108,2,1,4+
295293,8,5,2
281474,2,1,4+
91514,3,2,1
12891,4,3,1
586,2,1,1
103886,2,1,2+
137269,4,2,1
26990,5,4,1
30957,4,3,1
41002,4,2,1
295262,2,3,4+
324090,3,2,4+
26997,2,1,1
145659,4,2,1
904,5,3,1
179803,4,3,1
334011,1,1+,1+
422780,2,3,4+
248065,3,4,6+
352574,4,2,6+
112,5,6,2
396989,3,1,4+
12962,3,2,1
368058,3,2,1
239464,1,2,2+
210296,3,2,5+
329465,3,2,6
343562,3,1,5+
155362,7,5,2
374595,2,1,2+
300217,3,2,4+
235488,3,4,1
37380,2,3,4+
119788,4,3,1
25669,4,2,1
291508,3,2,4+
53953,3,4,5
38996,2,1,2+
402283,4,3,1
296345,2,3,8+
12902,3,4,1
28181,2,1,2+
29368,5,3,1
173,5,3,1
79127,2,4,1
177590,2,1,1
197405,2,1,2+
272738,4,3,1
11971,5,4,1
327778,5,8,1
172931,3,2,4+
252526,6,4,1
360265,3,2,4+
1041,3,4,1
117915,4,3,1
154458,2,2+,1
326945,3,2,5+
325022,4,3,1
329873,1,1+,1+
98229,6,4,1
271529,2,1,2+
293207,1,1+,1+
456440,2,3,5
303553,2,3,3+
166384,6,7,2
94,4,3,2
281466,4,2,5+
148319,4,3,1
160851,4,3,1
125678,3,2,5+
300753,4,3,1
318553,2,3,1
244992,4,2,1
238992,3,2,4+
199966,4,2,1
129948,4,3,1
391795,2,1,2+
195137,5,3,1
318983,4,3,1
362452,3,2,4+
1345,5,4,2
59946,4,2,5+
266722,4,2,1
381249,4,3,1
393165,3,2,4+
148575,2,2+,1
202408,4,3,1
207830,4,3,1
27588,4,3,1
113997,4,6,1
233262,3,2,4+
298065,2,3,1
402679,4,3,1
313010,5,4,2
147151,6,7,1
309630,4,5,1
193214,4,2,1
245487,1,1+,1+
242804,3,2,1
305682,1,4,5
340041,4,3,1
2181,4,4,1
284108,5,3,1
375651,5,4,1
425428,4,3,1
223953,4,2,4+
368017,2,4,4+
35570,4,3,1
24800,2,4,4+
177678,4,2,1
18098,2,2+,1
270971,4,3,4+
8051,2,4,1
9440,5,3,1
38054,5,3,1
191977,2,1,4+
203427,4,3,1
335212,4,5,5+
8203,3,2,1
108906,4,3,1
368432,4,2,2
276894,3,2,1
66356,4,1,5+
201921,4,1,4+
491,3,4,2
212402,4,3,1
172047,5,3,1
295607,2,1,4+
41066,6,5,1
154086,3,2,1
26566,4,3,1
66056,2,2,1
245476,3,2,1
681,2,2,1
13642,4,3,1
158889,2,4,3
15817,4,3,1
195560,3,2,1
352697,1,1+,1+
241266,3,2,1
229892,5,4,1
227515,4,2,1
228504,2,4,1
139898,3,2,1
386405,2,4,4+
153065,4,3,1
279254,3,2,1
383499,1,1+,1+
342848,3,1,5+
360692,3,2,4+
240,4,3,3
106217,3,2,1
177524,4,3,1
151004,2+,2,1
98351,3,2,5
195314,4,1,4+
40793,4,3,1
169124,4,3,1
206915,6,4,1
191300,4,3,1
287084,4,3,1
52461,2,3,4+
1382,5,4,1
438402,2,4,5
284121,3,1,4+
362986,3,4,1
242722,6,3,1
108784,2,3,4+
381278,2,1,1
27976,2,3,1
322616,4,3,1
387514,4,1,5+
37628,2,3,1
228855,1,2,4+
134352,14,11,1
156689,3,1,5+
178336,4,2,1
244654,4,3,1
347137,4,2,4+
293889,3,2,1
65901,4,3,1
300327,2,4,1
217861,4,3,1
376683,3,2,1
204027,3,2,4+
350636,2,1,5
132028,2,1,4+
161882,4,3,1
82421,2,4,1
205597,3,2,4+
72287,2,1,1
176371,4,2,4+
66505,4,3,2
299960,4,2,1
823,4,2,5+
408637,1,2,4+
35497,4,3,1
419195,4,3,1
281194,4,3,1
157403,4,3,1
230080,4,3,1
302098,2,3,4+
16992,4,3,1
261114,4,2,1
218509,3,2,1
141517,5,4,1
104710,4,3,1
242684,4,3,1
306481,3,2,4+
310448,4,2,1
270871,4,2,4+
224597,2,2+,1
224,6,4,2
194517,2,4,1
284936,2,1,4+
377061,3,4,1
554,4,3,1
171669,3,2,1
182340,1,2,4+
359152,3,4,6
253284,3,2,1
199383,4,3,5+
367517,4,3,1
206051,6,8,3
19600,5,3,1
146312,4,2,4+
181796,4,3,1
200853,3,2,5+
322622,3,1,4+
164949,4,3,1
298638,5,4,2
276042,2,4,1
274124,4,2,1
150999,2,3,4+
123570,4,3,1
245422,6,4,1
174570,3,2,5+
75449,3,4,1
175199,2,3,1
25568,4,3,1
358504,5,4,1
217449,4,2,4+
21523,2,3,6
301767,4,3,1
388367,2,3,1
299317,2,4,4+
233571,2,2+,1
200077,3,1,4+
156776,2,1,1
340677,3,2,6+
358557,2,4,4+
200954,2,3,4+
230933,3,2,4+
271615,4,3,1
157809,3,2,4+
82420,2,4,1
347811,2,3,4
180680,4,2,1
122522,3,2,1
939,2,4,1
366994,3,2,4+
208024,4,1,6+
328908,4,3,4+
246761,2,4,4+
191231,4,2,1
366162,2,3,4+
411875,2,4,1
95103,3,2,8
95064,2,1,1
194880,4,2,1
185589,4,2,1
91536,3,2,1
348220,4,2,4+
273477,6,4,1
424774,2,1,6
223750,2,1,5+
130176,4,3,1
330592,6,5,1
173090,3,2,5+
355433,2,1,1
294693,4,3,1
351526,3,2,4+
256589,4,3,6+
252752,3,2,5+
198454,6,5,3
129736,5,3,2
145639,4,2,1
136991,4,2,5+
359402,3,2,1
353470,4,3,1
425005,2,1,2+
131646,3,2,4+
24068,7,5,1
284778,2,2+,1
232918,1,2,4+
206931,2,1,6+
35052,2,3,1
207691,3,2,1
165838,2,1,2+
371077,3,1,5
6830,4,3,1
168917,2+,2,1
171233,3,2,5
97903,4,3,1
221,4,3,1
373167,1,1,1+
412865,3,2,1
141423,3,2,5+
302425,2,1,6
281526,1,2,2+
310632,2,1,4+
55427,2,2,1
340325,2,3,4+
406291,3,2,1
371932,3,2,1
342562,1,1,1+
127518,4,1,4+
436215,2,1,4+
297985,2,2+,1
311715,1,2,2+
163154,4,3,4+
425445,2,3,4
268586,5,4,1
17329,4,2,1
278,2,2,1
69779,2,1,2+
104363,6,4,3
158275,2,2+,1
161866,3,4,8
22825,2,4,4+
326933,2,3,1
72225,4,2,5+
1608,1,1+,1+
309110,1,1+,1+
344554,2,3,1
145371,3,2,2
160018,2+,2,1
327,4,2,1
341530,4,2,1
18100,3,4,1
143884,4,3,1
