row_id,type,name,min_players,max_players,playingtime,minimum_age,release_year,average_rating,num_of_ratings,weight,num_of_weights,bayes_average,std_deviation,language_dependency,owned,trading,wanting,wishing,rank_boardgame
330678,boardgameexpansion,Detective Club: Noir,4,8,60,8,2021,7.78758,132,1.3333,3,5.61966,1.3485,1: No necessary in-game text,637,6,31,150,
330681,boardgameexpansion,Trek 12+1: A travel diary through the Himalayas,1,50,30,8,2021,7.40778,90,1.6667,3,5.56237,1.34091,2: Some necessary text - easily memorized or small crib sheet,797,14,2,34,
330962,boardgameexpansion,V-Sabotage: Ghost,1,4,120,12,2022,8.21923,78,3.0,2,5.57243,1.28233,1: No necessary in-game text,968,20,9,50,
331013,boardgameexpansion,Warhammer Underworlds: Direchasm – Khagra's Ravagers,2,6,60,12,2021,8.08718,39,3.0,1,5.54111,1.33938,1: No necessary in-game text,322,3,7,12,
331050,boardgameexpansion,Disney Villainous: Despicable Plots,2,3,60,10,2021,7.44882,2252,2.1852,27,6.37335,1.34431,3: Moderate in-game text - needs crib sheet or paste ups,11623,96,64,899,
331130,boardgameexpansion,Super Fantasy Brawl: Circle of Blood,2,4,40,14,2022,7.94706,203,2.0,1,5.68749,1.38432,1: No necessary in-game text,1545,24,9,26,
331131,boardgameexpansion,Super Fantasy Brawl: Art of War,2,4,45,14,2022,7.95462,192,3.0,1,5.67812,1.42283,1: No necessary in-game text,1614,26,5,13,
331351,boardgameexpansion,Tsukuyumi: Sunrise Kingdom,3,5,180,12,2022,8.67222,36,4.0,1,5.53518,1.34239,1: No necessary in-game text,232,3,2,30,
331356,boardgameexpansion,Sea of Legends: Rise of the Ancients,1,5,160,14,2021,8.00613,99,3.0,1,5.58491,1.54076,3: Moderate in-game text - needs crib sheet or paste ups,850,19,7,24,
331506,boardgameexpansion,Trek 12: de la Saint Valentin,2,2,30,8,2021,6.24286,35,1.0,1,5.51139,1.43692,1: No necessary in-game text,51,0,1,5,
331509,boardgameexpansion,Trek 12: Philitrek,2,50,30,8,2021,6.49302,43,1.0,1,5.51865,1.08143,1: No necessary in-game text,61,2,3,7,
331645,boardgameexpansion,Iron Helm: Adventure Pack #6 – Malicia's Refuge,1,1,45,12,2021,8.35097,63,3.0,1,5.56306,1.15298,1: No necessary in-game text,686,2,9,28,
331654,boardgameexpansion,Paris: Eiffel,2,2,30,8,2021,7.49083,433,2.0,10,5.79492,1.16729,1: No necessary in-game text,2586,30,50,245,
331736,boardgameexpansion,Kabuto Sumo: Insect All-Stars,2,4,15,0,2021,7.21225,453,1.1667,6,5.77338,1.26019,2: Some necessary text - easily memorized or small crib sheet,3140,33,22,73,
331817,boardgameexpansion,7 Wonders (Second Edition): Gamers Guild Promo Card,3,7,30,10,2020,7.625,40,2.0,1,5.53305,1.66114,1: No necessary in-game text,273,21,31,81,
331850,boardgameexpansion,Lockup: Breakout,1,5,90,14,2022,7.70315,270,3.0,5,5.73073,1.18708,3: Moderate in-game text - needs crib sheet or paste ups,1695,27,17,111,
331894,boardgameexpansion,Legend of the Five Rings: The Card Game – Under Fu Leng's Shadow,1,5,90,14,2021,7.7704,50,3.5,4,5.53971,1.64678,4: Extensive use of text - massive conversion needed to be playable,364,6,33,73,
331965,boardgameexpansion,Arkham Horror (Third Edition): Secrets of the Order,1,6,180,14,2021,8.4439,666,3.4444,9,6.05408,1.2215,4: Extensive use of text - massive conversion needed to be playable,4919,19,50,347,
332012,boardgameexpansion,Ruthless: Tall Tales,1,4,60,10,2022,7.69796,49,3.0,1,5.54152,1.66959,1: No necessary in-game text,269,4,7,30,
332157,boardgameexpansion,Twilight Imperium: Fourth Edition – Twilight Codex Volume I: Ordinian,3,6,480,14,2020,9.08115,191,3.6667,3,5.74817,1.27578,4: Extensive use of text - massive conversion needed to be playable,945,7,26,131,
332378,boardgameexpansion,Uprising: Curse of the Last Emperor – Arch-Nemesis Expansion,1,4,240,14,2021,8.77006,167,3.6,5,5.70158,1.19287,1: No necessary in-game text,1360,13,11,18,
332390,boardgameexpansion,Everdell: Newleaf,1,4,100,10,2022,8.51747,2424,3.0612,49,6.97027,1.13438,4: Extensive use of text - massive conversion needed to be playable,11734,23,165,1561,
332397,boardgameexpansion,Everdell: Mistwood,1,4,100,10,2022,7.99683,1080,2.9412,17,6.24586,1.37285,4: Extensive use of text - massive conversion needed to be playable,8783,42,144,1293,
332410,boardgameexpansion,Suburbia: Expansions (Second Edition),1,5,90,14,2021,7.68477,237,3.0,4,5.69181,1.27982,2: Some necessary text - easily memorized or small crib sheet,1431,17,16,137,
332579,boardgameexpansion,Fields of Fire: The Bulge Campaign,1,1,300,12,2022,8.68452,84,4.0,6,5.59098,1.23669,4: Extensive use of text - massive conversion needed to be playable,957,5,13,68,
